column_name,code_value,code_label,code_description,display_order,is_active,parent_code,state_transition
CARRYING_OUT_TYPE,I,입고반품,입고반품,1073,Y,,
CARRYING_OUT_TYPE,O,외주작업,외주작업,1079,Y,,
CARRYING_OUT_TYPE,R,수리,수리,1082,Y,,
CARRYING_OUT_TYPE,S,정상매출,정상매출,1083,Y,,
CARRYING_OUT_TYPE,T,임대,임대,1084,Y,,
CARRYING_OUT_TYPE,X,전시,전시,1088,Y,,
CART_DIVISION,N,전용,전용,1078,Y,,
CART_DIVISION,Y,공용,공용,1089,Y,,
CART_GROUP,L0,LSU,LSU,1076,Y,,
CART_GROUP,MP,사출,사출,1077,Y,,
CART_GROUP,PD,프레스,프레스,1080,Y,,
CART_GROUP,Z1,제조1,제조1,1090,Y,,
CART_GROUP,Z2,제조2,제조2,1090,Y,,
CART_GROUP,Z3,제조3,제조3,1090,Y,,
CART_SIZE,D,대,대,1068,Y,,
CART_SIZE,X,중,중,1088,Y,,
CART_SIZE,Z,소,소,1090,Y,,
CART_TYPE,B,박스,박스,1066,Y,,
CART_TYPE,T,카드,카드,1084,Y,,
CART_USE_STATUS,L,LOST,LOST,1076,Y,,
CART_USE_STATUS,S,STOP,STOP,1083,Y,,
CART_USE_STATUS,Y,USE,USE,1089,Y,,
CASH_IO_REVERSE,C,취소,취소,1067,Y,,
CASH_IO_REVERSE,N,정상,정상,1078,Y,,
CASH_IO_REVERSE,T,이체,이체,1084,Y,,
CASH_IO_TYPE,I,입금,입금,1073,Y,,
CASH_IO_TYPE,O,출금,출금,1079,Y,,
CASH_IO_TYPE,P,매입,매입,1080,Y,,
CASH_IO_TYPE,S,매출,매출,1083,Y,,
CCS_YN,N,대기,대기,1078,Y,,
CCS_YN,Y,완료,완료,1089,Y,,
CHAMBER_TYPE,D,제습함,제습함,1068,Y,,
CHECK_INOUT,I,체크인,체크인,1073,Y,,
CHECK_INOUT,O,체크아웃,체크아웃,1079,Y,,
CHECK_RESULT,NG,NG,NG,1078,Y,,
CHECK_RESULT,OK,OK,OK,1079,Y,,
CHECK_RESULT,PASS,PASS,PASS,1080,Y,,
CHECK_STATUS,C,처리중,처리중,1067,Y,,
CHECK_STATUS,E,오류,오류,1069,Y,,
CHECK_STATUS,P,합격,합격,1080,Y,,C
CHECK_STATUS,R,대체,대체,1082,Y,,A
CHECK_STATUS,W,대기,대기,1087,Y,,P
CHECK_TYPE,1,CCS,CCS,1,Y,,
CHECK_TYPE,2,릴교환,릴교환,2,Y,,
CHECK_TYPE,3,풀체크,풀체크,3,Y,,
CHECK_TYPE,4,릴체크,릴체크,4,Y,,
CHECK_VALUE,NG,NG,NG,1078,Y,,
CHECK_VALUE,OK,OK,OK,1079,Y,,
CHECK_YN,N,아니오,아니오,1078,Y,,
CHECK_YN,Y,예,예,1089,Y,,
CHILD_EMS_UOM,G,G,G,1071,Y,,
CHILD_EMS_UOM,KEA,KEA,KEA,1075,Y,,
CHILD_EMS_UOM,KG,KG,KG,1075,Y,,
CHILD_ITEM_ITEM_TYPE,M,무상,무상,1077,Y,,
CHILD_ITEM_ITEM_TYPE,T,자작,자작,1084,Y,,
CHILD_ITEM_ITEM_TYPE,Y,유상,유상,1089,Y,,
CHILD_ITEM_LINE_TYPE,A,외부부품,외부부품,1065,Y,,
CHILD_ITEM_LINE_TYPE,D,도입구매,도입구매,1068,Y,,
CHILD_ITEM_LINE_TYPE,F,무상구매,무상구매,1070,Y,,
CHILD_ITEM_LINE_TYPE,G,국내구매,국내구매,1071,Y,,
CHILD_ITEM_LINE_TYPE,L,도입로칼,도입로칼,1076,Y,,
CHILD_ITEM_LINE_TYPE,M,무상사급,무상사급,1077,Y,,
CHILD_ITEM_LINE_TYPE,O,OEM,OEM,1079,Y,,
CHILD_ITEM_LINE_TYPE,P,도입(과세),도입(과세),1080,Y,,
