column_name,korean_name,description,business_rule,sample_values,unit,is_code_column,aggregation_functions,is_sensitive
AROUND_ONE_1_MONTHS_AFTER_THE_FINAL_ORDER,최종지시후한달범위,최종지시후한달범위,,,,N,,N
ARRAY_TYPE,에레이타입,에레이타입,,,,Y,,N
ARRAY_YN,대표여부,대표여부,,,,Y,,N
ARRIVAL,도착,도착,,,,N,,N
ARRIVAL_AMT,도착금액,도착금액 (금액),,,KRW,N,"SUM,AVG",N
ARRIVAL_CANCEL,도착취소,도착취소,,,,N,,N
ARRIVAL_CANCEL_MASTER,도착취소마스타,도착취소마스타,,,,N,,N
ARRIVAL_CHARGE,도착담당,도착담당,,,,N,,N
ARRIVAL_CONFIRM,도착승인,도착승인,,,,N,,N
ARRIVAL_DATE,@도착일자,@도착일자 (날짜),,,,N,"MIN,MAX",N
ARRIVAL_DEPARTMENT,도착부서,도착부서,,,,N,,N
ARRIVAL_EXCESS_ORDER_QTY,주문수량초과불가,주문수량초과불가 (수량),,,EA,N,"SUM,AVG",N
ARRIVAL_INVOICE_NO,도착전표번호,도착전표번호,,,,N,,N
ARRIVAL_INVOICE_REPORT,도착전표리포트,도착전표리포트,,,,N,,N
ARRIVAL_LIST,도착리스트,도착리스트,,,,N,,N
ARRIVAL_LIST_BAD,도착리스트(불량),도착리스트(불량),,,,N,,N
ARRIVAL_LOCATION_CODE,도착창고구분,도착창고구분 (코드 값),,,,Y,,N
ARRIVAL_MASTER,도착정보,도착정보,,,,N,,N
ARRIVAL_NO,도착번호,도착번호,,,,N,,N
ARRIVAL_QTY,도착수량,도착수량 (수량),,,EA,N,"SUM,AVG",N
ARRIVAL_REPORT,도착리포트,도착리포트,,,,N,,N
ARRIVAL_SEQ_NO,도착항번,도착항번,,,,N,,N
ARRIVAL_SEQ_NO_ORIGIN,도착항번(원본),도착항번(원본),,,,N,,N
ARRIVAL_STATUS,도착상태,도착상태,,,,Y,,N
ARRIVAL_STATUS_SUB_TOTAL,도착상태소계,도착상태소계,,,,Y,"SUM,AVG",N
ARRIVAL_TYPE,도착유형,도착유형,,,,Y,,N
ARRIVAL_WAITING,도착대기,도착대기,,,,N,,N
ARRIVED_BY,도착처리자,도착처리자,,,,N,,N
ASC,내림차순,내림차순,,,,N,,N
ASEMBLY_SHIPPING_HISTORY,반제품출하이력,반제품출하이력,,,,N,,N
ASSEEMBLY_WORK_ORDER,반제품생산작업지시,반제품생산작업지시,,,,N,,N
ASSEMBLY,반제품,반제품,,,,N,,N
ASSEMBLYACTUAL_QTY,생산실적,생산실적 (수량),,,EA,N,"SUM,AVG",N
ASSEMBLY_1,Assembly 즘1,Assembly 즘1,,,,N,,N
ASSEMBLY_1_SUB_BOARD,Assembly #1 ( SUB Board ),Assembly #1 ( SUB Board ),,,,N,,N
ASSEMBLY_2,Assembly #2,Assembly #2,,,,N,,N
ASSEMBLY_2_FRONT_ASSY_QR_SCAN,Assembly #2 ( Front Assy QR Scan ),Assembly #2 ( Front Assy QR Scan ),,,,N,,N
ASSEMBLY_2_FRONT_ASSY_QR_SCAN_AND_NO_SERIAL_BCR,Assembly #2 ( Front Assy QR Scan and No Serial BCR),Assembly #2 ( Front Assy QR Scan and No Serial BCR),,,,N,,N
ASSEMBLY_ACTUAL,제품생산 실적 관리,제품생산 실적 관리,,,,N,,N
ASSEMBLY_ACTUAL_BY_BARCODE_MASTER,반제품실적(바코드),반제품실적(바코드) (코드 값),,,,Y,,N
